	ranges_bin	norm_signal	pre_signal	post_signal	surround_signal	enrichment_factor1	enrichment_factor2
164	[3867444, 3867571)	2.0	0.0	0.42857142857142855	0.42857142857142855	4.666666666666667	2.6487224669034632
165	[3870318, 3870414)	1.125	1.3333333333333333	1.0	2.333333333333333	0.4821428571428572	1.4899063876331982
166	[3896873, 3897158)	2.607142857142857	0.6666666666666666	0.2	0.8666666666666667	3.008241758241758	3.4527989300705864
167	[3899078, 3899136)	3.0	0.0	2.0	2.0	1.5	3.973083700355195
168	[3899730, 3899887)	1.8181818181818181	1.2	0.42857142857142855	1.6285714285714286	1.1164274322169059	2.407929515366785
169	[3900173, 3900509)	1.8461538461538463	0.0	1.0	1.0	1.8461538461538463	2.4449745848339663
170	[3903176, 3903340)	2.5	2.3333333333333335	0.3333333333333333	2.666666666666667	0.9374999999999999	3.3109030836293294
171	[3903450, 3903571)	1.8333333333333333	0.0	1.0	1.0	1.8333333333333333	2.427995594661508
172	[3905324, 3905434)	2.0	0.0	0.5	0.5	4.0	2.6487224669034632
173	[3905694, 3905969)	1.5909090909090908	3.0	0.8571428571428571	3.857142857142857	0.4124579124579124	2.106938325945937
174	[3915679, 3915806)	2.0	0.3333333333333333	1.75	2.0833333333333335	0.96	2.6487224669034632
175	[3917892, 3918091)	1.5555555555555556	0.5	2.0	2.5	0.6222222222222222	2.0601174742582495
176	[3925635, 3925710)	0.6	1.5	2.5	4.0	0.15	0.794616740071039
177	[3929776, 3929832)	1.0	0.25	3.0	3.25	0.3076923076923077	1.3243612334517316
178	[3933902, 3933969)	6.2	0.0	1.5	1.5	4.133333333333334	8.211039647400737
179	[3934576, 3934910)	2.0	1.25	0.3333333333333333	1.5833333333333333	1.2631578947368423	2.6487224669034632
180	[3935297, 3935601)	1.2380952380952381	1.6	1.1666666666666667	2.7666666666666666	0.4475043029259897	1.639685336654525
181	[3936380, 3936525)	1.9	1.0	0.4	1.4	1.3571428571428572	2.5162863435582903
182	[3939311, 3939409)	2.8	0.0	0.75	0.75	3.733333333333333	3.7082114536648487
183	[3945976, 3946047)	1.3333333333333333	0.0	2.5	2.5	0.5333333333333333	1.7658149779356422
184	[3953226, 3953321)	2.4285714285714284	0.3333333333333333	1.5	1.8333333333333333	1.3246753246753247	3.216305852668491
185	[3958047, 3958191)	2.6666666666666665	0.0	0.3333333333333333	0.3333333333333333	8.0	3.5316299558712845
186	[3961140, 3961542)	1.6	0.0	1.25	1.25	1.28	2.118977973522771
187	[3963831, 3964074)	2.0	0.7142857142857143	0.6666666666666666	1.380952380952381	1.4482758620689655	2.6487224669034632
188	[3969982, 3970117)	2.5	0.16666666666666666	0.7142857142857143	0.8809523809523809	2.8378378378378377	3.3109030836293294
189	[3971124, 3971251)	1.3636363636363635	0.0	1.0	1.0	1.3636363636363635	1.8059471365250885
190	[3972518, 3972616)	3.2	5.5	0.6666666666666666	6.166666666666667	0.518918918918919	4.237955947045542
191	[3974010, 3974070)	1.8	0.0	0.8	0.8	2.25	2.3838502202131173
192	[3976201, 3976438)	2.4482758620689653	1.7142857142857142	0.625	2.3392857142857144	1.0465912082126874	3.242401640519757
193	[3982434, 3982553)	1.9090909090909092	0.8571428571428571	1.0	1.8571428571428572	1.027972027972028	2.5283259911351244
194	[3986978, 3987257)	2.0	0.6666666666666666	0.75	1.4166666666666665	1.411764705882353	2.6487224669034632
195	[3989941, 3990162)	2.066666666666667	0.3333333333333333	0.8888888888888888	1.222222222222222	1.6909090909090911	2.737013215800246
196	[3991475, 3991674)	1.5454545454545454	0.0	1.2	1.2	1.2878787878787878	2.046740088061767
197	[3992367, 3992468)	3.0	0.0	0.2	0.2	15.0	3.973083700355195
198	[3995168, 3995251)	0.75	1.8571428571428572	1.1666666666666667	3.0238095238095237	0.24803149606299213	0.9932709250887988
199	[4004173, 4004310)	2.125	0.0	1.5	1.5	1.4166666666666667	2.81426762108493
200	[4005177, 4005288)	1.125	0.6666666666666666	1.3333333333333333	2.0	0.5625	1.4899063876331982
201	[4010495, 4010640)	2.3	0.7	0.8888888888888888	1.5888888888888888	1.4475524475524475	3.0460308369389826
202	[4010716, 4010770)	1.125	0.8333333333333334	2.3333333333333335	3.166666666666667	0.35526315789473684	1.4899063876331982
203	[4037207, 4037326)	1.7	1.2	0.9	2.1	0.8095238095238094	2.251414096867944
204	[4037562, 4037653)	2.6666666666666665	0.7777777777777778	0.5	1.2777777777777777	2.0869565217391304	3.5316299558712845
205	[4043410, 4043582)	1.7857142857142858	0.0	0.4	0.4	4.464285714285714	2.3649307740209498
206	[4049823, 4049876)	1.75	0.5	1.125	1.625	1.0769230769230769	2.3176321585405306
207	[4049975, 4050054)	1.3333333333333333	1.1428571428571428	2.2857142857142856	3.4285714285714284	0.3888888888888889	1.7658149779356422
208	[4059228, 4059320)	2.142857142857143	0.5	0.625	1.125	1.9047619047619047	2.8379169288251394
209	[4066815, 4066958)	1.25	0.5	1.75	2.25	0.5555555555555556	1.6554515418146647
210	[4082487, 4082710)	1.7058823529411764	0.16666666666666666	1.6	1.7666666666666668	0.9655937846836846	2.259204457064719
211	[4083623, 4083684)	4.333333333333333	1.1428571428571428	0.25	1.3928571428571428	3.111111111111111	5.7388986782908376
212	[4086448, 4086638)	1.5	0.6	0.6	1.2	1.25	1.9865418501775975
213	[4086876, 4086936)	5.0	0.0	1.0	1.0	5.0	6.621806167258659
214	[4087722, 4087792)	1.8571428571428572	0.0	0.6666666666666666	0.6666666666666666	2.785714285714286	2.4595280049817876
215	[4088085, 4088388)	1.6153846153846154	0.25	2.75	3.0	0.5384615384615384	2.1393527617297203
216	[4088486, 4088536)	2.0	3.0	0.5555555555555556	3.5555555555555554	0.5625	2.6487224669034632
217	[4089908, 4089964)	2.5	0.6	0.6666666666666666	1.2666666666666666	1.973684210526316	3.3109030836293294
218	[4091869, 4092080)	1.588235294117647	0.0	0.5	0.5	3.176470588235294	2.103397253129221
219	[4093639, 4093998)	1.7727272727272727	1.0	0.5	1.5	1.1818181818181819	2.347731277482615
